Analysis id 1020	Biotype 1020	Stable id 1023
2	protein_coding	OTTHUMG00000132676
2	processed_transcript	OTTHUMG00000132826
2	protein_coding	OTTHUMG00000132679
2	protein_coding	OTTHUMG00000163268
2	protein_coding	OTTHUMG00000132729
2	processed_pseudogene	OTTHUMG00000157776
2	protein_coding	OTTHUMG00000132730
2	protein_coding	OTTHUMG00000132731
2	protein_coding	OTTHUMG00000132732
2	protein_coding	OTTHUMG00000132752
2	processed_pseudogene	OTTHUMG00000157780
2	processed_pseudogene	OTTHUMG00000157781
2	protein_coding	OTTHUMG00000132753
2	protein_coding	OTTHUMG00000132754
2	protein_coding	OTTHUMG00000132751
2	protein_coding	OTTHUMG00000132797
2	protein_coding	OTTHUMG00000132796
2	processed_pseudogene	OTTHUMG00000132805
2	protein_coding	OTTHUMG00000132806
2	processed_transcript	OTTHUMG00000132793
2	unprocessed_pseudogene	OTTHUMG00000132798
2	unprocessed_pseudogene	OTTHUMG00000132795
2	processed_pseudogene	OTTHUMG00000157806
2	protein_coding	OTTHUMG00000132794
2	protein_coding	OTTHUMG00000132868
2	processed_transcript	OTTHUMG00000132799
2	protein_coding	OTTHUMG00000132867
2	protein_coding	OTTHUMG00000132871
2	protein_coding	OTTHUMG00000132870
2	protein_coding	OTTHUMG00000132869
2	protein_coding	OTTHUMG00000159306
2	protein_coding	OTTHUMG00000132788
2	protein_coding	OTTHUMG00000132787
2	protein_coding	OTTHUMG00000132786
2	protein_coding	OTTHUMG00000132812
2	protein_coding	OTTHUMG00000132815
2	protein_coding	OTTHUMG00000132813
2	protein_coding	OTTHUMG00000132785
2	protein_coding	OTTHUMG00000132778
2	protein_coding	OTTHUMG00000132810
2	protein_coding	OTTHUMG00000132811
2	protein_coding	OTTHUMG00000132814
2	processed_transcript	OTTHUMG00000132777
2	processed_transcript	OTTHUMG00000132776
2	protein_coding	OTTHUMG00000132882
2	protein_coding	OTTHUMG00000132886
2	protein_coding	OTTHUMG00000132885
2	protein_coding	OTTHUMG00000132887
2	protein_coding	OTTHUMG00000132889
2	protein_coding	OTTHUMG00000132884
2	protein_coding	OTTHUMG00000132883
2	protein_coding	OTTHUMG00000132890
2	protein_coding	OTTHUMG00000132888
2	processed_transcript	OTTHUMG00000132738
2	protein_coding	OTTHUMG00000156883
2	protein_coding	OTTHUMG00000132927
2	protein_coding	OTTHUMG00000128519
2	protein_coding	OTTHUMG00000132933
2	processed_pseudogene	OTTHUMG00000157809
2	protein_coding	OTTHUMG00000132930
2	protein_coding	OTTHUMG00000132932
2	protein_coding	OTTHUMG00000132928
2	protein_coding	OTTHUMG00000132931
2	protein_coding	OTTHUMG00000132929
2	protein_coding	OTTHUMG00000132948
2	protein_coding	OTTHUMG00000132952
2	processed_pseudogene	OTTHUMG00000157810
2	protein_coding	OTTHUMG00000132951
2	transcribed_processed_pseudogene	OTTHUMG00000157812
2	protein_coding	OTTHUMG00000132954
2	protein_coding	OTTHUMG00000132953
2	protein_coding	OTTHUMG00000132950
2	processed_transcript	OTTHUMG00000132737
2	protein_coding	OTTHUMG00000132949
2	protein_coding	OTTHUMG00000133003
2	protein_coding	OTTHUMG00000132998
2	protein_coding	OTTHUMG00000132999
2	protein_coding	OTTHUMG00000138999
2	protein_coding	OTTHUMG00000133002
2	protein_coding	OTTHUMG00000132997
2	protein_coding	OTTHUMG00000133001
2	processed_transcript	OTTHUMG00000132736
2	protein_coding	OTTHUMG00000133000
2	protein_coding	OTTHUMG00000133004
2	protein_coding	OTTHUMG00000132733
2	protein_coding	OTTHUMG00000132734
2	protein_coding	OTTHUMG00000132996
2	protein_coding	OTTHUMG00000133066
2	protein_coding	OTTHUMG00000132712
2	protein_coding	OTTHUMG00000132711
2	protein_coding	OTTHUMG00000133065
2	protein_coding	OTTHUMG00000133067
2	protein_coding	OTTHUMG00000133063
2	processed_pseudogene	OTTHUMG00000157830
2	protein_coding	OTTHUMG00000133062
2	protein_coding	OTTHUMG00000133068
2	protein_coding	OTTHUMG00000133064
2	processed_pseudogene	OTTHUMG00000157832
2	processed_pseudogene	OTTHUMG00000157835
2	protein_coding	OTTHUMG00000133060
2	protein_coding	OTTHUMG00000133061
2	protein_coding	OTTHUMG00000133125
2	protein_coding	OTTHUMG00000133121
