VEGA gene ID	Pathway stable ID
OTTHUMG00000099365	REACT_604
OTTHUMG00000099365	REACT_24970
OTTHUMG00000152011	REACT_602
OTTHUMG00000152011	REACT_494
OTTHUMG00000152011	REACT_22258
OTTHUMG00000152014	REACT_11057
OTTHUMG00000152014	REACT_22258
OTTHUMG00000152014	REACT_24968
OTTHUMG00000128426	REACT_212
OTTHUMG00000128426	REACT_474
OTTHUMG00000128426	REACT_6804
OTTHUMG00000128426	REACT_9441
OTTHUMG00000128426	REACT_15518
OTTHUMG00000128426	REACT_19118
OTTHUMG00000097789	REACT_71
OTTHUMG00000097789	REACT_12627
OTTHUMG00000097789	REACT_15525
OTTHUMG00000151927	REACT_2159
OTTHUMG00000151927	REACT_1815
OTTHUMG00000151927	REACT_2099
OTTHUMG00000151927	REACT_1014
OTTHUMG00000151927	REACT_71
OTTHUMG00000151927	REACT_17015
OTTHUMG00000097785	REACT_1371
OTTHUMG00000097785	REACT_1788
OTTHUMG00000097785	REACT_281
OTTHUMG00000097785	REACT_347
OTTHUMG00000097785	REACT_1036
OTTHUMG00000097785	REACT_21352
OTTHUMG00000097785	REACT_22339
OTTHUMG00000128409	REACT_15518
OTTHUMG00000128409	REACT_19305
OTTHUMG00000128409	REACT_19118
OTTHUMG00000128409	REACT_20547
OTTHUMG00000128409	REACT_20530
OTTHUMG00000128409	REACT_20582
OTTHUMG00000097070	REACT_1698
OTTHUMG00000097070	REACT_957
OTTHUMG00000097070	REACT_21376
OTTHUMG00000097075	REACT_11153
OTTHUMG00000097075	REACT_11238
OTTHUMG00000097075	REACT_11193
OTTHUMG00000097075	REACT_11172
OTTHUMG00000097075	REACT_15518
OTTHUMG00000097075	REACT_22285
OTTHUMG00000097075	REACT_19118
OTTHUMG00000097076	REACT_11203
OTTHUMG00000097076	REACT_11123
OTTHUMG00000097076	REACT_12507
OTTHUMG00000097076	REACT_18368
OTTHUMG00000097076	REACT_18356
OTTHUMG00000097076	REACT_15380
OTTHUMG00000097076	REACT_17015
OTTHUMG00000097076	REACT_22426
OTTHUMG00000097076	REACT_22161
OTTHUMG00000097076	REACT_25046
OTTHUMG00000097077	REACT_1571
OTTHUMG00000097077	REACT_474
OTTHUMG00000097071	REACT_19271
OTTHUMG00000097071	REACT_19199
OTTHUMG00000097071	REACT_18266
OTTHUMG00000097073	REACT_682
OTTHUMG00000097073	REACT_910
OTTHUMG00000097073	REACT_152
OTTHUMG00000097073	REACT_383
OTTHUMG00000097073	REACT_22172
OTTHUMG00000097073	REACT_21300
OTTHUMG00000097073	REACT_22186
OTTHUMG00000097073	REACT_22344
OTTHUMG00000096978	REACT_2108
OTTHUMG00000096978	REACT_1541
OTTHUMG00000096978	REACT_160
OTTHUMG00000096978	REACT_1473
OTTHUMG00000096978	REACT_2025
OTTHUMG00000096978	REACT_735
OTTHUMG00000096978	REACT_1708
OTTHUMG00000096978	REACT_1697
OTTHUMG00000096978	REACT_1887
OTTHUMG00000096978	REACT_22279
OTTHUMG00000096978	REACT_22258
OTTHUMG00000096979	REACT_2108
OTTHUMG00000096979	REACT_1541
OTTHUMG00000096979	REACT_160
OTTHUMG00000096979	REACT_1473
OTTHUMG00000096979	REACT_2025
OTTHUMG00000096979	REACT_735
OTTHUMG00000096979	REACT_1708
OTTHUMG00000096979	REACT_1697
OTTHUMG00000096979	REACT_1887
OTTHUMG00000096979	REACT_22279
OTTHUMG00000096979	REACT_22258
OTTHUMG00000094797	REACT_604
OTTHUMG00000094797	REACT_25201
OTTHUMG00000094797	REACT_24970
OTTHUMG00000094764	REACT_13
OTTHUMG00000094764	REACT_15295
OTTHUMG00000094764	REACT_15457
OTTHUMG00000094764	REACT_15314
OTTHUMG00000094764	REACT_15452
OTTHUMG00000094764	REACT_14797
OTTHUMG00000094764	REACT_14828
OTTHUMG00000094764	REACT_14819
OTTHUMG00000094764	REACT_19184
OTTHUMG00000094764	REACT_19327
OTTHUMG00000094764	REACT_19231
OTTHUMG00000094764	REACT_21340
OTTHUMG00000094765	REACT_15295
OTTHUMG00000094765	REACT_15497
OTTHUMG00000094765	REACT_9000
OTTHUMG00000094765	REACT_15307
OTTHUMG00000094765	REACT_9053
OTTHUMG00000094765	REACT_15526
OTTHUMG00000094765	REACT_15426
OTTHUMG00000094765	REACT_15370
OTTHUMG00000094765	REACT_13477
OTTHUMG00000094765	REACT_13685
OTTHUMG00000094765	REACT_1665
OTTHUMG00000094765	REACT_15530
OTTHUMG00000094765	REACT_1505
OTTHUMG00000094765	REACT_1946
OTTHUMG00000094765	REACT_11061
OTTHUMG00000094765	REACT_12079
OTTHUMG00000094765	REACT_15312
OTTHUMG00000094765	REACT_15333
OTTHUMG00000094765	REACT_12056
OTTHUMG00000094765	REACT_14797
OTTHUMG00000094765	REACT_15518
OTTHUMG00000094765	REACT_19184
OTTHUMG00000094765	REACT_19327
OTTHUMG00000094765	REACT_19231
OTTHUMG00000094765	REACT_19333
OTTHUMG00000094765	REACT_24023
OTTHUMG00000094765	REACT_20593
OTTHUMG00000094765	REACT_20625
OTTHUMG00000094765	REACT_20563
OTTHUMG00000094765	REACT_23887
OTTHUMG00000094765	REACT_25199
OTTHUMG00000094765	REACT_25031
OTTHUMG00000094765	REACT_25330
OTTHUMG00000094765	REACT_25282
OTTHUMG00000125525	REACT_682
OTTHUMG00000125525	REACT_910
OTTHUMG00000125525	REACT_152
OTTHUMG00000125525	REACT_383
OTTHUMG00000125525	REACT_22172
OTTHUMG00000125525	REACT_21300
OTTHUMG00000125525	REACT_22186
OTTHUMG00000125525	REACT_22344
OTTHUMG00000090755	REACT_20
OTTHUMG00000090755	REACT_798
OTTHUMG00000090755	REACT_604
OTTHUMG00000090755	REACT_622
OTTHUMG00000090755	REACT_1695
OTTHUMG00000090755	REACT_11044
OTTHUMG00000090755	REACT_11051
OTTHUMG00000090755	REACT_14797
OTTHUMG00000090755	REACT_19271
OTTHUMG00000090755	REACT_19184
OTTHUMG00000090755	REACT_19259
OTTHUMG00000090755	REACT_18407
OTTHUMG00000090755	REACT_19277
OTTHUMG00000090755	REACT_18266
OTTHUMG00000090751	REACT_602
OTTHUMG00000090751	REACT_6841
OTTHUMG00000090751	REACT_6823
OTTHUMG00000090751	REACT_22258
OTTHUMG00000044150	REACT_1505
OTTHUMG00000044150	REACT_15380
OTTHUMG00000044150	REACT_18274
OTTHUMG00000044150	REACT_18325
OTTHUMG00000119082	REACT_1190
OTTHUMG00000119082	REACT_22279
OTTHUMG00000119082	REACT_22258
OTTHUMG00000119083	REACT_14797
OTTHUMG00000119083	REACT_14828
OTTHUMG00000119083	REACT_14819
OTTHUMG00000119083	REACT_19184
OTTHUMG00000119083	REACT_18283
OTTHUMG00000119083	REACT_21340
OTTHUMG00000149916	REACT_14797
OTTHUMG00000149916	REACT_19271
OTTHUMG00000149916	REACT_19184
OTTHUMG00000149916	REACT_19259
OTTHUMG00000149916	REACT_18407
OTTHUMG00000149916	REACT_19277
OTTHUMG00000149916	REACT_18266
OTTHUMG00000090479	REACT_18368
OTTHUMG00000090479	REACT_18356
OTTHUMG00000090479	REACT_15380
OTTHUMG00000090459	REACT_498
OTTHUMG00000090459	REACT_1109
OTTHUMG00000090459	REACT_15518
OTTHUMG00000090459	REACT_25060
OTTHUMG00000090459	REACT_25283
OTTHUMG00000090450	REACT_13
OTTHUMG00000090450	REACT_13565
OTTHUMG00000090450	REACT_14820
OTTHUMG00000090449	REACT_1698
OTTHUMG00000090449	REACT_683
OTTHUMG00000090449	REACT_1783
OTTHUMG00000090449	REACT_152
OTTHUMG00000090449	REACT_471
OTTHUMG00000090449	REACT_21267
OTTHUMG00000090449	REACT_21330
